City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,okhotsk,59.3833,143.3,-27.99,96,57,2.47,RU,1708273948
1,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.75,PT,1708273954
2,iqaluit,63.7506,-68.5145,-33.15,68,0,11.32,CA,1708273955
3,yellowknife,62.456,-114.3525,-23.66,90,20,4.63,CA,1708273956
4,houghton,47.1219,-88.569,-2.92,70,100,8.75,US,1708273956
5,whitehorse,60.7161,-135.0538,-11.06,85,75,0.0,CA,1708273956
6,port-aux-francais,-49.35,70.2167,4.81,77,68,16.01,TF,1708273957
7,vorgashor,67.5833,63.95,-14.9,94,100,9.19,RU,1708273957
8,ilhabela,-23.7781,-45.3581,27.66,74,43,2.53,BR,1708273957
9,ust-nera,64.5667,143.2,-33.76,93,100,1.0,RU,1708273957
10,olonkinbyen,70.9221,-8.7187,-0.23,87,66,4.08,SJ,1708273958
11,bantay,17.5847,120.3892,23.87,83,1,2.74,PH,1708273958
12,hammerfest,70.6634,23.6821,-1.75,69,40,5.14,NO,1708273958
13,humahuaca,-23.2054,-65.3505,21.61,43,66,2.12,AR,1708273867
14,ushuaia,-54.8,-68.3,13.81,51,40,6.17,AR,1708273815
15,fort bragg,35.139,-79.006,6.01,38,0,1.54,US,1708273960
16,yuzhno-kurilsk,44.0306,145.8556,-0.35,78,10,3.38,RU,1708273960
17,waitangi,-43.9535,-176.5597,16.57,97,10,1.34,NZ,1708273960
18,tiksi,71.6872,128.8694,-36.09,98,89,3.39,RU,1708273961
19,adamstown,-25.066,-130.1015,24.3,77,100,5.02,PN,1708273961
20,glazov,58.1394,52.6584,-8.05,92,100,6.9,RU,1708273961
21,la passe,45.5549,-0.8967,12.13,90,100,4.07,FR,1708273961
22,college,64.8569,-147.8028,-17.82,66,75,0.0,US,1708273687
23,margaret river,-33.95,115.0667,24.68,52,100,5.61,AU,1708273962
24,isafjordur,66.0755,-23.124,3.02,87,40,1.03,IS,1708273962
25,vilyuchinsk,52.9306,158.4028,-14.85,66,71,4.14,RU,1708273962
26,dunedin,-45.8742,170.5036,16.61,49,100,3.93,NZ,1708273780
27,lospalos,-8.5186,127.0025,23.19,93,79,1.39,TL,1708273963
28,al jumum,21.6169,39.6981,22.17,39,6,5.32,SA,1708273963
29,gulu,2.7746,32.299,31.24,27,100,2.63,UG,1708273963
30,cidade velha,14.9167,-23.6167,31.26,33,0,9.26,CV,1708273963
31,afaahiti,-17.75,-149.2833,25.93,81,83,6.54,PF,1708273963
32,blackmans bay,-43.0167,147.3167,14.18,78,44,1.83,AU,1708273964
33,saipan,15.1355,145.701,24.39,94,75,4.63,MP,1708273964
34,childress,34.4264,-100.204,3.29,65,0,3.6,US,1708273964
35,hermanus,-34.4187,19.2345,22.89,54,0,8.08,ZA,1708273964
36,nuevo casas grandes,30.4167,-107.9167,12.04,36,96,1.42,MX,1708273965
37,bredasdorp,-34.5322,20.0403,20.15,64,0,7.54,ZA,1708273965
38,port mathurin,-19.6833,63.4167,26.53,72,10,6.61,MU,1708273965
39,fale old settlement,-9.3852,-171.2468,28.83,78,100,4.99,TK,1708273965
40,weiser,44.251,-116.9693,1.29,94,100,1.31,US,1708273923
41,saldanha,-33.0117,17.9442,29.03,73,2,5.25,ZA,1708273966
42,bethel,41.3712,-73.414,0.88,51,0,7.2,US,1708273966
43,mlowo,-9.0,32.9833,17.6,94,100,0.97,TZ,1708273966
44,mumford,5.2618,-0.759,28.7,78,63,5.73,GH,1708273966
45,freetown,8.484,-13.2299,28.77,71,15,4.75,SL,1708273967
46,ribas do rio pardo,-20.4431,-53.7592,29.51,66,76,5.45,BR,1708273967
47,grytviken,-54.2811,-36.5092,5.47,95,96,6.09,GS,1708273967
48,anadyr,64.75,177.4833,-15.72,77,20,20.0,RU,1708273968
49,edinburgh of the seven seas,-37.0676,-12.3116,15.66,65,29,8.4,SH,1708273968
